region,code_circ,nom_circ,nb_bv,inscrits,votants,taux_participation,bulletins_nuls,suf_exprimes,blancs_nombre,blancs_pct,parti,nom_candidat,voix_obtenues,pourcentage,est_elu,page_source
TONKPI,193,"DALEU, DANANE, GBON-HOUYE, KOUAN-HOULE ET SEILEU, COMMUNES ET SOUS-PREFECTURES",240,64623,18599,28.78,715,17884,207,1.16,PDCI-RDA,TOUS ENSEMBLE POUR LA CÔTE D'IVOIRE,882,4.93,NON,33
TONKPI,194,"MAHAPLEU ET ZONNEU, COMMUNES ET SOUS- PREFECTURES",80,22392,8583,38.33,457,8126,108,1.33,INDEPENDANT,TOGON OULEI PIERRE,1664,20.48,NON,33
TONKPI,194,"MAHAPLEU ET ZONNEU, COMMUNES ET SOUS- PREFECTURES",80,22392,8583,38.33,457,8126,108,1.33,INDEPENDANT,TIA GOUET BLAISE,340,4.18,NON,33
TONKPI,194,"MAHAPLEU ET ZONNEU, COMMUNES ET SOUS- PREFECTURES",80,22392,8583,38.33,457,8126,108,1.33,INDEPENDANT,GOUET CHARLEMAGNE,1387,17.07,NON,33
TONKPI,194,"MAHAPLEU ET ZONNEU, COMMUNES ET SOUS- PREFECTURES",80,22392,8583,38.33,457,8126,108,1.33,INDEPENDANT,GOMUN DOH EMILE CHARLES LEA,1295,15.94,NON,33
TONKPI,194,"MAHAPLEU ET ZONNEU, COMMUNES ET SOUS- PREFECTURES",80,22392,8583,38.33,457,8126,108,1.33,RHDP,KEGBAN KEGBAN BERNARD,3138,38.62,OUI,33
TONKPI,194,"MAHAPLEU ET ZONNEU, COMMUNES ET SOUS- PREFECTURES",80,22392,8583,38.33,457,8126,108,1.33,INDEPENDANT,TIA SEUNA ANGELINE,68,0.84,NON,33
TONKPI,194,"MAHAPLEU ET ZONNEU, COMMUNES ET SOUS- PREFECTURES",80,22392,8583,38.33,457,8126,108,1.33,INDEPENDANT,DOUMBOUYA MOUHAMED,90,1.11,NON,33
TONKPI,194,"MAHAPLEU ET ZONNEU, COMMUNES ET SOUS- PREFECTURES",80,22392,8583,38.33,457,8126,108,1.33,INDEPENDANT,SREU ZOTAHON CYPRIEN,36,0.44,NON,33
TONKPI,195,"BOGOUINE, LOGOUALE, YAPLEU ET ZIOGOUINE, COMMUNES ET SOUS-PREFECTURES",66,20102,8315,41.36,331,7984,78,0.98,INDEPENDANT,SADIA KOUI SALOMON,516,6.46,NON,33
